product_id,product_name,brand_name,current_price,max_price,percent_off,variants,offers,category_name
pimprod2021593,Turn That Frown Upside Down! Hydrogel Frown Line Patches,The Crème Shop,1.99,4.0,0.5,,Free Gift,Global Skin Care
pimprod2021750,Matte Monoi Butter Bronzer,Physicians Formula,12.99,15.99,0.19,Bronzer,,Makeup
pimprod2021750,Matte Monoi Butter Bronzer,Physicians Formula,12.99,15.99,0.19,Bronzer,,Face
pimprod2021750,Matte Monoi Butter Bronzer,Physicians Formula,12.99,15.99,0.19,Bronzer,,Bronzer
pimprod2021849,"Hello, Good Stuff! 3 in 1 Face Mist",Essence,2.99,5.99,0.5,,,Skin Care
pimprod2021849,"Hello, Good Stuff! 3 in 1 Face Mist",Essence,2.99,5.99,0.5,,,Moisturizers
pimprod2021849,"Hello, Good Stuff! 3 in 1 Face Mist",Essence,2.99,5.99,0.5,,,Face Mists & Essences
pimprod2021986,Shooting Stars GLOSS Ultra Shine Gel Pedicure,Dashing Diva,2.0,7.99,0.75,,,Nails
pimprod2021986,Shooting Stars GLOSS Ultra Shine Gel Pedicure,Dashing Diva,2.0,7.99,0.75,,,Nail Polish Stickers
pimprod2022006,Pomegranate Petals Scented Soy Blend Candle,ULTA,5.0,20.0,0.75,,,ULTA Collection
pimprod2022006,Pomegranate Petals Scented Soy Blend Candle,ULTA,5.0,20.0,0.75,,,Candles
pimprod2022007,Pomegranate Petals Scented Soy Blend Candle,ULTA,5.0,20.0,0.75,,,ULTA Collection
pimprod2022007,Pomegranate Petals Scented Soy Blend Candle,ULTA,5.0,20.0,0.75,,,Candles
pimprod2022144,Bio Glitter Translucent Topper,Pacifica,2.5,10.0,0.75,"Alien, Gold Dust",,Nails
pimprod2022144,Bio Glitter Translucent Topper,Pacifica,2.5,10.0,0.75,"Alien, Gold Dust",,Nail Polish
pimprod2022146,Plant Magic Translucent Topper,Pacifica,2.5,10.0,0.75,Jasmine,,Nails
pimprod2022146,Plant Magic Translucent Topper,Pacifica,2.5,10.0,0.75,Jasmine,,Top & Base Coats
pimprod2022220,Angled Blush Brush,e.l.f. Cosmetics,5.0,6.0,0.17,,,Makeup
pimprod2022220,Angled Blush Brush,e.l.f. Cosmetics,5.0,6.0,0.17,,,Makeup Brushes & Tools
pimprod2022220,Angled Blush Brush,e.l.f. Cosmetics,5.0,6.0,0.17,,,Makeup Brushes
pimprod2022782,The Great Barrier Cream,COOLA,23.99,48.0,0.5,,,Skin Care
pimprod2022782,The Great Barrier Cream,COOLA,23.99,48.0,0.5,,,Moisturizers
pimprod2022782,The Great Barrier Cream,COOLA,23.99,48.0,0.5,,,Face Moisturizer
pimprod2022783,Vital Rush Skin Renewal Serum,COOLA,25.99,52.0,0.5,,,Skin Care
pimprod2022783,Vital Rush Skin Renewal Serum,COOLA,25.99,52.0,0.5,,,Treatment & Serums
pimprod2022783,Vital Rush Skin Renewal Serum,COOLA,25.99,52.0,0.5,,,Face Serums
pimprod2022885,Strictly Curls Curl Refresher Spray,Marc Anthony,4.47,8.99,0.5,,,Hair
pimprod2022885,Strictly Curls Curl Refresher Spray,Marc Anthony,4.47,8.99,0.5,,,Styling Products
pimprod2022885,Strictly Curls Curl Refresher Spray,Marc Anthony,4.47,8.99,0.5,,,Curl Enhancing
pimprod2023105,Fake It Don't Bake It Tinted Sunless Tanning Lotion,b.tan,5.99,11.99,0.5,,Only at Ulta,Skin Care
pimprod2023105,Fake It Don't Bake It Tinted Sunless Tanning Lotion,b.tan,5.99,11.99,0.5,,Only at Ulta,Suncare
pimprod2023105,Fake It Don't Bake It Tinted Sunless Tanning Lotion,b.tan,5.99,11.99,0.5,,Only at Ulta,Self-Tanning & Bronzing
pimprod2023109,I Woke Up Like This Overnight Tanning Treatment,b.tan,8.49,16.99,0.5,,Only at Ulta,Skin Care
pimprod2023109,I Woke Up Like This Overnight Tanning Treatment,b.tan,8.49,16.99,0.5,,Only at Ulta,Suncare
pimprod2023109,I Woke Up Like This Overnight Tanning Treatment,b.tan,8.49,16.99,0.5,,Only at Ulta,Self-Tanning & Bronzing
pimprod2023194,Frizz Ease Dream Curls Cream Oil,John Frieda,5.97,11.99,0.5,,,Hair
pimprod2023194,Frizz Ease Dream Curls Cream Oil,John Frieda,5.97,11.99,0.5,,,Treatment
pimprod2023194,Frizz Ease Dream Curls Cream Oil,John Frieda,5.97,11.99,0.5,,,Oils & Serums
pimprod2023229,Curl Define Leave-In Conditioner,Nexxus,8.47,16.99,0.5,,,Hair
pimprod2023229,Curl Define Leave-In Conditioner,Nexxus,8.47,16.99,0.5,,,Shampoo & Conditioner
pimprod2023229,Curl Define Leave-In Conditioner,Nexxus,8.47,16.99,0.5,,,Leave-In Conditioner
