,main_category,sub_category,sub_sub_category,name,brand,product,price,options,offers,rating,number_of_reviews,url
68,makeup,eyes,eyeshadow,Stila Little White Lies Liquid Eyeshadow,Stila,Little White Lies Liquid Eyeshadow,16.97,2 Colors, ,4.30,58,https://www.ulta.com/little-white-lies-liquid-eyeshadow?productId=pimprod2001823
69,makeup,face,foundation,Stila Stay All Day Cover Powder Finish Foundation & Concealer,Stila,Stay All Day Cover Powder Finish Foundation & Concealer,25.97, , ,3.80,104,https://www.ulta.com/stay-all-day-cover-powder-finish-foundation-concealer?productId=xlsImpprod16411269
70,makeup,face,foundation,Stila Stay All Day Foundation & Concealer,Stila,Stay All Day Foundation & Concealer,27.97,4 Colors, ,4.00,213,https://www.ulta.com/stay-all-day-foundation-concealer?productId=xlsImpprod16411271
71,makeup,lips,lipstick,TPSY Absoliptly Lipstick,TPSY,Absoliptly Lipstick,10.97, , ,3.00,3,https://www.ulta.com/absoliptly-lipstick?productId=xlsImpprod18101177
72,makeup,makeup bags & cases, ,Tartan + Twine Deluxe Weekender,Tartan + Twine,Deluxe Weekender,28.97, , ,5.00,4,https://www.ulta.com/deluxe-weekender?productId=pimprod2009218
73,makeup,makeup bags & cases, ,Tartan + Twine Disney Frozen II Olaf Weekender,Tartan + Twine,Disney Frozen II Olaf Weekender,16.97, , ,0.00, ,https://www.ulta.com/disney-frozen-ii-olaf-weekender?productId=pimprod2010914
74,makeup,makeup bags & cases, ,Tartan + Twine Frozen 2 Pc. Train Case Set - Snowflake,Tartan + Twine,Frozen 2 Pc. Train Case Set - Snowflake,15.97, , ,3.50,2,https://www.ulta.com/frozen-2-pc-train-case-set-snowflake?productId=pimprod2010319
75,makeup,makeup bags & cases, ,Tartan + Twine Medium Clutch,Tartan + Twine,Medium Clutch,14.97, , ,Price, ,https://www.ulta.com/medium-clutch?productId=pimprod2009246
76,makeup,makeup bags & cases, ,Tartan + Twine Metallic Duo Zip Beauty Clutch,Tartan + Twine,Metallic Duo Zip Beauty Clutch,7.97, , ,5.00,4,https://www.ulta.com/metallic-duo-zip-beauty-clutch?productId=pimprod2003894
77,makeup,face,highlighter,Tarte Treasure Pot Glitter Gel,Tarte,Treasure Pot Glitter Gel,12.97, , ,4.50,24,https://www.ulta.com/treasure-pot-glitter-gel?productId=pimprod2002689
78,makeup,lips,lipstick,Too Faced Melted Liquified Long Wear Lipstick,Too Faced,Melted Liquified Long Wear Lipstick,14.97, , ,4.10,3518,https://www.ulta.com/melted-liquified-long-wear-lipstick?productId=xlsImpprod6500036
79,makeup,lips, ,Too Faced Melted Matte-Tallic Liquified Lipstick,Too Faced,Melted Matte-Tallic Liquified Lipstick,14.97,4 Colors, ,4.30,200,https://www.ulta.com/melted-matte-tallic-liquified-lipstick?productId=xlsImpprod18631031
