,url,id,brand,desc,rating,number_of_reviews,sale,price,secret_sale,options,main_category,sub_category,sub_sub_category,offers,sale_price
Joico Color Endure Violet Shampoo,https://www.ulta.com/color-endure-violet-shampoo?productId=xlsImpprod6500387,xlsImpprod6500387,Joico,Color Endure Violet Shampoo,4.40,264,0,$4.97,1,,hair,shampoo & conditioner,shampoo,,
Kyn. Dry Shampoo Mist,https://www.ulta.com/dry-shampoo-mist?productId=pimprod2005101,pimprod2005101,Kyn.,Dry Shampoo Mist,1.80,56,0,$7.97,1,,hair,shampoo & conditioner,dry shampoo,,
Drybar Detox Whipped Dry Shampoo Foam,https://www.ulta.com/detox-whipped-dry-shampoo-foam?productId=xlsImpprod16041875,xlsImpprod16041875,Drybar,Detox Whipped Dry Shampoo Foam,2.70,49,0,$11.97,1,,hair,shampoo & conditioner,dry shampoo,,
Punky Colour IntraBond Hair Repairing Complex Mask,https://www.ulta.com/intrabond-hair-repairing-complex-mask?productId=pimprod2005263,pimprod2005263,Punky Colour,IntraBond Hair Repairing Complex Mask,5.00,3,0,$14.97,1,,hair,treatment,masks,,
Kyn. Hyaluronic Acid,https://www.ulta.com/hyaluronic-acid?productId=pimprod2005099,pimprod2005099,Kyn.,Hyaluronic Acid,3.70,6,0,$6.97,1,,hair,treatment,oils & serums,,
Kyn. Argan Oil,https://www.ulta.com/argan-oil?productId=pimprod2005098,pimprod2005098,Kyn.,Argan Oil,4.10,8,0,$6.97,1,,hair,treatment,oils & serums,,
Chi Argan Oil Plus Moringa Oil Mini,https://www.ulta.com/argan-oil-plus-moringa-oil-mini?productId=xlsImpprod11651015,xlsImpprod11651015,Chi,Argan Oil Plus Moringa Oil Mini,4.60,17,0,$0.97,1,,hair,travel size, ,,
Kyn. Salt Spray,https://www.ulta.com/salt-spray?productId=pimprod2005092,pimprod2005092,Kyn.,Salt Spray,3.30,4,0,$7.97,1,,hair,styling products,volume & texture,,
Kyn. Texture Spray,https://www.ulta.com/texture-spray?productId=pimprod2005085,pimprod2005085,Kyn.,Texture Spray,2.90,8,0,$7.97,1,,hair,styling products,volume & texture,,
Kyn. Hold & Shine,https://www.ulta.com/hold-shine?productId=pimprod2005086,pimprod2005086,Kyn.,Hold & Shine,3.00,2,0,$7.97,1,,hair,styling products,gloss & shine,,
Keracolor Color Me Clean Dry Shampoo,https://www.ulta.com/color-me-clean-dry-shampoo?productId=pimprod2005416,pimprod2005416,Keracolor,Color Me Clean Dry Shampoo,3.10,19,0,$10.97,1,3 Colors,hair,hair color,hair makeup,,
Keracolor Gold Toning Drops,https://www.ulta.com/gold-toning-drops?productId=pimprod2005245,pimprod2005245,Keracolor,Gold Toning Drops,3.10,10,0,$9.97,1,,hair,hair color,color care,,
Paul Mitchell Fresh Looks Mad For Magenta 1'' Flat Iron,https://www.ulta.com/fresh-looks-mad-magenta-1-flat-iron?productId=pimprod2008971,pimprod2008971,Paul Mitchell,Fresh Looks Mad For Magenta 1'' Flat Iron,4.50,22,0,$59.97,1,,tools & brushes,hair styling tools,flat irons,,
Paul Mitchell Fresh Looks Hot Brush In Plum Perfection,https://www.ulta.com/fresh-looks-hot-brush-in-plum-perfection?productId=pimprod2009759,pimprod2009759,Paul Mitchell,Fresh Looks Hot Brush In Plum Perfection,3.70,23,0,$59.97,1,,hair,gifts & value sets, ,,
Paul Mitchell Express Ion Unclipped 1'' Bubble Rod Attachment,https://www.ulta.com/express-ion-unclipped-1-bubble-rod-attachment?productId=pimprod2000693,pimprod2000693,Paul Mitchell,Express Ion Unclipped 1'' Bubble Rod Attachment,Price,,0,$20.97,1,,tools & brushes,hair styling tools, ,,
Paul Mitchell Neuro Unclipped Styling Cone Curling Iron,https://www.ulta.com/neurounclipped-styling-cone-curling-iron?productId=xlsImpprod15671059,xlsImpprod15671059,Paul Mitchell,Neuro Unclipped Styling Cone Curling Iron,4.40,18,0,$68.97,1,,tools & brushes,hair styling tools,curling irons & stylers,,
Chi CHI For ULTA Beauty 3 In 1 Curl Kit,https://www.ulta.com/chi-ulta-beauty-3-in-1-curl-kit?productId=pimprod2010760,pimprod2010760,Chi,CHI For ULTA Beauty 3 In 1 Curl Kit,5.00,7,0,$69.97,1,,hair,gifts & value sets, ,,
Wet Brush Pro Shine Enhancer Brush,https://www.ulta.com/pro-shine-enhancer-brush?productId=xlsImpprod18361147,xlsImpprod18361147,Wet Brush,Pro Shine Enhancer Brush,4.80,52,0,$8.97,1,,tools & brushes,hair brushes & combs, ,,
Invisibobble Rainbow Sprunchie,https://www.ulta.com/rainbow-sprunchie?productId=pimprod2016904,pimprod2016904,Invisibobble,Rainbow Sprunchie,4.50,2,0,$5.97,1,,tools & brushes,accessories,elastics,,
ULTA Sweets & Treats Shower Cap,https://www.ulta.com/sweets-treats-shower-cap?productId=xlsImpprod18741099,xlsImpprod18741099,ULTA,Sweets & Treats Shower Cap,4.00,3,0,$0.97,1,,bath & body,ulta collection, ,,
Invisibobble Better Than Lametta Duo Cracker,https://www.ulta.com/better-than-lametta-duo-cracker?productId=pimprod2011265,pimprod2011265,Invisibobble,Better Than Lametta Duo Cracker,5.00,1,0,$6.97,1,,hair,gifts & value sets, ,,
Scünci Disney Frozen II All-Over Blue Sequins Scrunchies,https://www.ulta.com/disney-frozen-ii-all-over-blue-sequins-scrunchies?productId=pimprod2009692,pimprod2009692,Scünci,Disney Frozen II All-Over Blue Sequins Scrunchies,Price,,0,$4.97,1,,tools & brushes,accessories,elastics,,
AG Hair Colour To Go Kit,https://www.ulta.com/colour-go-kit?productId=xlsImpprod15511031,xlsImpprod15511031,AG Hair,Colour To Go Kit,3.70,7,0,$14.97,1,,hair,gifts & value sets, ,,
ARMANI Armani Code Profumo Parfum,https://www.ulta.com/armani-code-profumo-parfum?productId=xlsImpprod14561021,xlsImpprod14561021,ARMANI,Armani Code Profumo Parfum,4.50,59,0,$64.97 - $80.97,1,2 Sizes,men,cologne, ,Free Gift with Purchase!,
ULTA Black Cat Sanitizer Sling,https://www.ulta.com/black-cat-sanitizer-sling?productId=xlsImpprod18691115,xlsImpprod18691115,ULTA,Black Cat Sanitizer Sling,3.70,3,0,$1.97,1,,bath & body,ulta collection, ,,
ULTA Beauty Addict Sanitizer Sling,https://www.ulta.com/beauty-addict-sanitizer-sling?productId=xlsImpprod18691117,xlsImpprod18691117,ULTA,Beauty Addict Sanitizer Sling,Price,,0,$1.97,1,,bath & body,ulta collection, ,,
