ratings_and_offers_id,product_id,url,price,options,price_str,mult_sizes
119,xlsImpprod15921222,https://www.ulta.com/pro-longwear-concealer?productId=xlsImpprod15921222,$26.00,16 Colors,$26.00,False
120,xlsImpprod17951065,https://www.ulta.com/mocha-coffee-bronzer?productId=xlsImpprod17951065,$20.00,,$20.00,False
121,xlsImpprod17081403,https://www.ulta.com/blossoms-hi-lite-palette?productId=xlsImpprod17081403,$38.00,,$38.00,False
122,pimprod2007167,https://www.ulta.com/tarte-lit-chrome-paint-highlighter?productId=pimprod2007167,$30.00,,$30.00,False
123,xlsImpprod14641503,https://www.ulta.com/double-wear-stay-in-place-flawless-wear-concealer?productId=xlsImpprod14641503,$30.00,21 Colors,$30.00,False
124,xlsImpprod3490149,https://www.ulta.com/instant-age-rewind-eraser-dark-circle-treatment-concealer?productId=xlsImpprod3490149,$9.99,18 Colors,$9.99,False
125,xlsImpprod15711057,https://www.ulta.com/strobe-lite-strobing-powder?productId=xlsImpprod15711057,$7.99,4 Colors,$7.99,False
126,pimprod2012404,https://www.ulta.com/pixel-perfect-concealer?productId=pimprod2012404,$24.00,10 Colors,$24.00,False
127,pimprod2017223,https://www.ulta.com/shimmer-up-face-body-shimmer-stick?productId=pimprod2017223,$18.00,,$18.00,False
128,pimprod2008990,https://www.ulta.com/mineral-wear-3-in-1-setting-powder?productId=pimprod2008990,$15.99,,$15.99,False
129,xlsImpprod11881009,https://www.ulta.com/under-eye-brightening-corrector?productId=xlsImpprod11881009,$32.00,2 Colors,$32.00,False
130,pimprod2006968,https://www.ulta.com/new-green-me-blush?productId=pimprod2006968,$14.00,2 Colors,$14.00,False
131,pimprod2006580,https://www.ulta.com/espresso-coffee-bronzer?productId=pimprod2006580,$20.00,,$20.00,False
132,pimprod2002833,https://www.ulta.com/re-dew-set-refresh-spray?productId=pimprod2002833,$30.00,,$30.00,False
133,pimprod2018443,https://www.ulta.com/skin-shield-blurring-primer?productId=pimprod2018443,$34.00,,$34.00,False
134,pimprod2017916,https://www.ulta.com/conceal-define-infinite-universal-pressed-powder?productId=pimprod2017916,$10.00,,$10.00,False
135,pimprod2013966,https://www.ulta.com/organic-makeup-remover-cloths?productId=pimprod2013966,$20.00,,$20.00,False
136,pimprod2018326,https://www.ulta.com/tasty-peach-mattifying-priming-spray?productId=pimprod2018326,$8.00,,$8.00,False
137,pimprod2015526,https://www.ulta.com/haze-mist-cbd-setting-spray?productId=pimprod2015526,$28.00,,$28.00,False
138,xlsImpprod12991091,https://www.ulta.com/bareskin-complete-coverage-serum-concealer?productId=xlsImpprod12991091,$24.00,6 Colors,$24.00,False
139,pimprod2013395,https://www.ulta.com/hydrating-camo-concealer?productId=pimprod2013395,$6.00,25 Colors,$6.00,False
140,pimprod2013420,https://www.ulta.com/pretty-fresh-hyaluronic-creamy-concealer?productId=pimprod2013420,$9.00,27 Colors,$9.00,False
141,pimprod2007903,https://www.ulta.com/boi-ing-cakeless-concealer?productId=pimprod2007903,$22.00,14 Colors,$22.00,False
142,xlsImpprod16241082,https://www.ulta.com/shimmer-squad-powder-highlighter-quad?productId=xlsImpprod16241082,$10.99,,$10.99,False
143,xlsImpprod17681057,https://www.ulta.com/conceal-define-full-coverage-concealer?productId=xlsImpprod17681057,$7.00,45 Colors,$7.00,False
144,pimprod2006070,https://www.ulta.com/satin-veil-primer?productId=pimprod2006070,$32.00,,$32.00,False
145,xlsImpprod17721243,https://www.ulta.com/prime-time-makeup-primer-spray?productId=xlsImpprod17721243,$7.99,2 Scents,$7.99,False
146,xlsImpprod17971023,https://www.ulta.com/naked-skin-one-done-blur-on-run?productId=xlsImpprod17971023,$34.00,,$34.00,False
147,pimprod2013364,https://www.ulta.com/feel-gold-luminice-highlight-bronze-glow-palette?productId=pimprod2013364,$11.99,,$11.99,False
148,pimprod2012781,https://www.ulta.com/diamond-bounce-highlighter?productId=pimprod2012781,$10.95,,$10.95,False
149,xlsImpprod13591002,https://www.ulta.com/strobe-of-genius?productId=xlsImpprod13591002,$19.00,,$19.00,False
150,pimprod2008734,https://www.ulta.com/biodegradable-longwear-makeup-remover-cleansing-towelettes?productId=pimprod2008734,$5.99,,$5.99,False
151,pimprod2015265,https://www.ulta.com/pure-powder-bronzer?productId=pimprod2015265,$28.00,3 Colors,$28.00,False
152,pimprod2006835,https://www.ulta.com/i-am-magic-concealer?productId=pimprod2006835,$14.00,24 Colors,$14.00,False
153,pimprod2011532,https://www.ulta.com/reset-organic-makeup-remover?productId=pimprod2011532,$18.00,,$18.00,False
154,pimprod2007405,https://www.ulta.com/cancelled-light-diffusing-v-concealer?productId=pimprod2007405,$28.00,20 Colors,$7.00,False
155,xlsImpprod18541028,https://www.ulta.com/creaseless-undereye-concealer?productId=xlsImpprod18541028,$26.00,30 Colors,$26.00,False
156,xlsImpprod17691279,https://www.ulta.com/barepro-16-hr-full-coverage-concealer?productId=xlsImpprod17691279,$24.00,15 Colors,$24.00,False
157,pimprod2004300,https://www.ulta.com/peeper-perfect-concealer?productId=pimprod2004300,$16.00,3 Colors,$16.00,False
158,xlsImpprod16031105,https://www.ulta.com/teint-idole-ultra-wear-camouflage-concealer?productId=xlsImpprod16031105,$31.00,19 Colors,$31.00,False
159,xlsImpprod16251012,https://www.ulta.com/boi-ing-industrial-strength-concealer?productId=xlsImpprod16251012,$22.00,6 Colors,$22.00,False
160,xlsImpprod12991071,https://www.ulta.com/beyond-perfecting-powder-foundation-concealer?productId=xlsImpprod12991071,$31.00,14 Colors,$31.00,False
161,pimprod2003461,https://www.ulta.com/fluidity-full-coverage-concealer?productId=pimprod2003461,$10.00,31 Colors,$10.00,False
162,xlsImpprod12871043,https://www.ulta.com/travel-size-bye-bye-under-eye-full-coverage-anti-aging-waterproof-concealer?productId=xlsImpprod12871043,$12.00,3 Colors,$12.00,False
163,pimprod2008881,https://www.ulta.com/crystal-infused-elixir-mist-aquamarine-hydrating?productId=pimprod2008881,$20.00,,$20.00,False
164,pimprod2014254,https://www.ulta.com/prime-glow-face-illuminator-licorice-extract-pink?productId=pimprod2014254,$7.99,,$7.99,False
165,xlsImpprod19111013,https://www.ulta.com/studio-fix-24-hour-smooth-wear-concealer?productId=xlsImpprod19111013,$24.00,34 Colors,$24.00,False
166,xlsImpprod15451051,https://www.ulta.com/invisible-matte-lip-makeup-remover?productId=xlsImpprod15451051,$5.00,,$5.00,False
167,pimprod2011956,https://www.ulta.com/whipped-cream-lip-cheek?productId=pimprod2011956,$18.00,2 Colors,$18.00,False
168,prod2093950,https://www.ulta.com/concealer-broad-spectrum-spf-20?productId=prod2093950,$22.00,4 Colors,$22.00,False
169,xlsImpprod16211223,https://www.ulta.com/precious-charms-highlighting-palette?productId=xlsImpprod16211223,$14.99,,$14.99,False
170,xlsImpprod18751411,https://www.ulta.com/oil-lifting-make-up-remover-wipes?productId=xlsImpprod18751411,$7.49,,$7.49,False
171,pimprod2007470,https://www.ulta.com/stay-naked-correcting-concealer?productId=pimprod2007470,$29.00,25 Colors,$29.00,False
172,xlsImpprod16971045,https://www.ulta.com/shimmer-squad-holographic-haul?productId=xlsImpprod16971045,$10.99,,$10.99,False
173,pimprod2015402,https://www.ulta.com/tuscan-sunshine-3-in-1-all-over-stick?productId=pimprod2015402,$14.00,,$14.00,False
174,pimprod2002811,https://www.ulta.com/16hr-camo-concealer?productId=pimprod2002811,$6.00,25 Colors,$6.00,False
175,xlsImpprod15921236,https://www.ulta.com/studio-finish-spf-35-concealer?productId=xlsImpprod15921236,$24.00,14 Colors,$24.00,False
176,pimprod2003975,https://www.ulta.com/diffuse-redness-balancing-primer?productId=pimprod2003975,$32.00,,$32.00,False
177,xlsImpprod15711109,https://www.ulta.com/studio-pro-makeup-setting-spray?productId=xlsImpprod15711109,$11.00,,$11.00,False
178,pimprod2014761,https://www.ulta.com/goat-milk-beauty-balm?productId=pimprod2014761,$15.00,,$15.00,False
179,xlsImpprod2980149,https://www.ulta.com/fit-me-concealer?productId=xlsImpprod2980149,$6.49,12 Colors,$6.49,False
180,xlsImpprod10791951,https://www.ulta.com/line-smoothing-concealer?productId=xlsImpprod10791951,$21.50,6 Colors,$21.50,False
181,prod340055,https://www.ulta.com/well-rested-eye-brightener-broad-spectrum-spf-20?productId=prod340055,$22.00,,$22.00,False
182,pimprod2017857,https://www.ulta.com/dew-dew-body-highlighter?productId=pimprod2017857,$39.00,,$39.00,False
183,pimprod2012718,https://www.ulta.com/micellar-water?productId=pimprod2012718,$12.99,,$12.99,False
184,pimprod2015275,https://www.ulta.com/cover-care-full-coverage-concealer?productId=pimprod2015275,$28.00,16 Colors,$28.00,False
185,xlsImpprod17081067,https://www.ulta.com/conceal-perfect-2-in-1-foundation-concealer?productId=xlsImpprod17081067,$9.99,24 Colors,$9.99,False
186,xlsImpprod16411277,https://www.ulta.com/bye-bye-breakout-full-coverage-concealer?productId=xlsImpprod16411277,$32.00,7 Colors,$32.00,False
187,pimprod2002563,https://www.ulta.com/infallible-full-wear-waterproof-concealer?productId=pimprod2002563,$13.49,25 Colors,$13.49,False
