ulta_id,product_id,main_category,sub_category,sub_sub_category,brand,product,url
3305,pimprod2006152,makeup,gifts & value sets,makeup palettes,UOMA Beauty,Allure Black Magic Color Palette,https://www.ulta.com/allure-black-magic-color-palette?productId=pimprod2006152
3306,pimprod2010380,makeup,gifts & value sets,makeup palettes,I Heart Revolution,Tasty Popcorn Palette,https://www.ulta.com/tasty-popcorn-palette?productId=pimprod2010380
3307,pimprod2002647,makeup,gifts & value sets,makeup palettes,Makeup Revolution,Revolution x The Emily Edit - The Wants Eyeshadow Palette,https://www.ulta.com/revolution-x-emily-edit-wants-eyeshadow-palette?productId=pimprod2002647
3308,xlsImpprod19101127,makeup,eyes,eyeshadow,NYX Professional Makeup,Swear By It Shadow Palette,https://www.ulta.com/swear-by-it-shadow-palette?productId=xlsImpprod19101127
3309,pimprod2003789,makeup,eyes,eyelashes,Kiss,i-Gloo Premium Strip Lash Adhesive,https://www.ulta.com/i-gloo-premium-strip-lash-adhesive?productId=pimprod2003789
3310,pimprod2014136,makeup,eyes,eyelashes,Eylure,Luxe 3D Faux Mink Eternity,https://www.ulta.com/luxe-3d-faux-mink-eternity?productId=pimprod2014136
3311,xlsImpprod17721261,makeup,eyes,eyelashes,Kiss,"Strip Lash Adhesive with Aloe, Black",https://www.ulta.com/strip-lash-adhesive-with-aloe-black?productId=xlsImpprod17721261
3312,pimprod2003143,makeup,gifts & value sets,makeup palettes,BH Cosmetics,Zodiac Love Signs - 25 Color Eyeshadow & Highlighter Palette,https://www.ulta.com/zodiac-love-signs-25-color-eyeshadow-highlighter-palette?productId=pimprod2003143
3313,pimprod2011635,makeup,gifts & value sets,makeup palettes,Urban Decay Cosmetics,On the Run Mini Eyeshadow Palette - G Train,https://www.ulta.com/on-run-mini-eyeshadow-palette-g-train?productId=pimprod2011635
3314,pimprod2014133,makeup,eyes,eyelashes,Eylure,Luxe Cashmere No.8,https://www.ulta.com/luxe-cashmere-no8?productId=pimprod2014133
3315,pimprod2003333,makeup,gifts & value sets,makeup palettes,L.A. Girl,The Nudist Eyeshadow Palette,https://www.ulta.com/nudist-eyeshadow-palette?productId=pimprod2003333
3316,pimprod2014917,makeup,gifts & value sets,makeup palettes,I Heart Revolution,Heartbreakers Courage Palette,https://www.ulta.com/heartbreakers-courage-palette?productId=pimprod2014917
3317,xlsImpprod18911035,makeup,eyes,eyeshadow,Juvia's Place,Afrique Eyeshadow Palette,https://www.ulta.com/afrique-eyeshadow-palette?productId=xlsImpprod18911035
3318,pimprod2003793,makeup,eyes,eyelashes,Kiss,"Lash Couture Naked Drama, Organza",https://www.ulta.com/lash-couture-naked-drama-organza?productId=pimprod2003793
3319,xlsImpprod16321472,makeup,eyes,eyelashes,Velour Lashes,Black Lash Adhesive,https://www.ulta.com/black-lash-adhesive?productId=xlsImpprod16321472
3320,pimprod2008387,makeup,gifts & value sets,makeup palettes,I Heart Revolution,Cranberries & Chocolate Palette,https://www.ulta.com/cranberries-chocolate-palette?productId=pimprod2008387
3321,xlsImpprod17681095,makeup,gifts & value sets,makeup palettes,Morphe,9C Jewel Crew Eyeshadow Palette,https://www.ulta.com/9c-jewel-crew-eyeshadow-palette?productId=xlsImpprod17681095
3322,xlsImpprod16801724,makeup,eyes,eyelashes,Benefit Cosmetics,Real False Lashes Invisible Lash Glue,https://www.ulta.com/real-false-lashes-invisible-lash-glue?productId=xlsImpprod16801724
3323,xlsImpprod18981013,makeup,eyes,eyelashes,Eylure,Luxe Magnetic Opulent Accent Lashes,https://www.ulta.com/luxe-magnetic-opulent-accent-lashes?productId=xlsImpprod18981013
3324,pimprod2003762,makeup,eyes,eyelashes,Eylure,Pre-Glued Accents No. 003 Lashes,https://www.ulta.com/pre-glued-accents-no-003-lashes?productId=pimprod2003762
3325,xlsImpprod17721263,makeup,eyes,eyelashes,Kiss,"Strip Lash Adhesive with Aloe, Clear",https://www.ulta.com/strip-lash-adhesive-with-aloe-clear?productId=xlsImpprod17721263
3326,pimprod2011788,makeup,gifts & value sets,makeup palettes,Makeup Revolution,Revolution X Patricia Bright Rich In Life Shadow Palette,https://www.ulta.com/revolution-x-patricia-bright-rich-in-life-shadow-palette?productId=pimprod2011788
3327,pimprod2003664,makeup,gifts & value sets,makeup palettes,NARS,Voyageur Eyeshadow Palette Nectar,https://www.ulta.com/voyageur-eyeshadow-palette-nectar?productId=pimprod2003664
3328,pimprod2015490,makeup,eyes,eyeshadow,MAC,Powder Kiss Eyeshadow,https://www.ulta.com/powder-kiss-eyeshadow?productId=pimprod2015490
3329,xlsImpprod17121093,makeup,gifts & value sets,makeup palettes,Dose Of Colors,Blushing Berries Eyeshadow Palette,https://www.ulta.com/blushing-berries-eyeshadow-palette?productId=xlsImpprod17121093
3330,pimprod2003518,makeup,eyes,eyelashes,Ardell,Lash Double Up #210,https://www.ulta.com/lash-double-up-210?productId=pimprod2003518
3331,xlsImpprod16641023,makeup,eyes,eyelashes,PÜR,PRO Lash Glue,https://www.ulta.com/pro-lash-glue?productId=xlsImpprod16641023
3332,pimprod2006261,makeup,gifts & value sets,makeup palettes,It Cosmetics,Superhero By Night Eyeshadow Palette,https://www.ulta.com/superhero-by-night-eyeshadow-palette?productId=pimprod2006261
3333,xlsImpprod18161154,makeup,gifts & value sets,makeup palettes,bareMinerals,Gen Nude Latte Eyeshadow Palette,https://www.ulta.com/gen-nude-latte-eyeshadow-palette?productId=xlsImpprod18161154
3334,pimprod2007634,makeup,eyes,eyeshadow,Essence,Olá Rio Eyeshadow Palette,https://www.ulta.com/ola-rio-eyeshadow-palette?productId=pimprod2007634
