ulta_id,product_id,main_category,sub_category,sub_sub_category,brand,product,url
789,pimprod2014584,bath & body,suncare, ,Shiseido,Travel Size Ultimate Sun Protector Cream SPF 50+ Sunscreen,https://www.ulta.com/travel-size-ultimate-sun-protector-cream-spf-50-sunscreen?productId=pimprod2014584
790,pimprod2009679,skin care,treatment & serums,face serums,BOTA,CBD Hydrating Hyaluronic Acid Serum,https://www.ulta.com/cbd-hydrating-hyaluronic-acid-serum?productId=pimprod2009679
791,pimprod2001837,skin care,gifts & value sets, ,Estée Lauder,Perfectionist Pro Rapid Firm + Lift Treatment With Acetyl Hexapeptide-8 Duo,https://www.ulta.com/perfectionist-pro-rapid-firm-lift-treatment-with-acetyl-hexapeptide-8-duo?productId=pimprod2001837
792,pimprod2017890,skin care,gifts & value sets, ,Dermalogica,Brighter Together Set,https://www.ulta.com/brighter-together-set?productId=pimprod2017890
793,pimprod2017617,skin care,treatment & serums,face serums,Perricone MD,Hypoallergenic CBD Sensitive Skin Therapy Rebalancing Elixir,https://www.ulta.com/hypoallergenic-cbd-sensitive-skin-therapy-rebalancing-elixir?productId=pimprod2017617
794,xlsImpprod18801013,tools & brushes,skincare tools, ,Daily Concepts,Daily Jade Facial Roller,https://www.ulta.com/daily-jade-facial-roller?productId=xlsImpprod18801013
795,xlsImpprod16111030,tools & brushes,skincare tools, ,PMD,Kiss Lip Plumping System,https://www.ulta.com/kiss-lip-plumping-system?productId=xlsImpprod16111030
796,pimprod2011404,tools & brushes,skincare tools, ,Tweezerman,Dry Face Brush,https://www.ulta.com/dry-face-brush?productId=pimprod2011404
797,pimprod2005503,tools & brushes,skincare tools, ,Nurse Jamie,Eyeonix Eye Massaging Beauty Tool,https://www.ulta.com/eyeonix-eye-massaging-beauty-tool?productId=pimprod2005503
798,pimprod2017189,tools & brushes,skincare tools, ,EcoTools,Wand Facial Roller,https://www.ulta.com/wand-facial-roller?productId=pimprod2017189
799,pimprod2011803,tools & brushes,skincare tools, ,Michael Todd Beauty,Sonic Refresher Replacement Filters,https://www.ulta.com/sonic-refresher-replacement-filters?productId=pimprod2011803
800,pimprod2012960,skin care,gifts & value sets, ,Murad,"Ready, Radiant, Retinol Kit",https://www.ulta.com/ready-radiant-retinol-kit?productId=pimprod2012960
801,xlsImpprod18451213,men,gifts & value sets, ,Clinique,Clinique For Men Starter Kit - Daily Intense Hydration,https://www.ulta.com/clinique-men-starter-kit-daily-intense-hydration?productId=xlsImpprod18451213
802,pimprod2017846,skin care,gifts & value sets, ,Beauty Finds by ULTA Beauty,"Refresh, Renew & Replenish",https://www.ulta.com/refresh-renew-replenish?productId=pimprod2017846
803,pimprod2016161,bath & body,travel size, ,L'Occitane,Almond Forever Favorites,https://www.ulta.com/almond-forever-favorites?productId=pimprod2016161
804,pimprod2017103,skin care,gifts & value sets, ,Hanskin,On The Go,https://www.ulta.com/on-go?productId=pimprod2017103
