extra_id,ulta_id,date,price,options,rating,no_of_reviews,offers,url,product_id
14622,14148,08/13/2020,$68.00,,4.80,4.0,Free Gift with Purchase!,https://www.ulta.com/delphine-natural-perfume-mist?productId=xlsImpprod16041783,xlsImpprod16041783
14623,14149,08/13/2020,$68.00,,4.30,7.0,Free Gift with Purchase!,https://www.ulta.com/defineme-clara-natural-perfume-mist?productId=xlsImpprod16041781,xlsImpprod16041781
14624,14150,08/13/2020,$19.50,,4.60,9.0,,https://www.ulta.com/ritual-of-sakura-bed-body-mist?productId=xlsImpprod16361255,xlsImpprod16361255
14625,14151,08/13/2020,$14.00,,0,,Free Gift with Purchase!,https://www.ulta.com/hardcore-happy-hair-body-mist?productId=pimprod2017347,pimprod2017347
14626,14152,08/13/2020,$68.00,,5.00,6.0,Free Gift with Purchase!,https://www.ulta.com/payton-natural-perfume-mist?productId=xlsImpprod16041785,xlsImpprod16041785
14627,14153,08/13/2020,$19.50,,4.00,4.0,,https://www.ulta.com/ritual-of-dao-bed-body-mist?productId=xlsImpprod18801177,xlsImpprod18801177
14628,14154,08/13/2020,$14.00,,4.00,3.0,Free Gift with Purchase!,https://www.ulta.com/sage-me-hair-body-mist?productId=pimprod2017345,pimprod2017345
14629,14155,08/13/2020,$16.95,,3.80,6.0,Free Gift with Purchase!,https://www.ulta.com/citrine-crystal-quartz-herbal-face-body-hair-hydrating-mist?productId=pimprod2004187,pimprod2004187
14630,14156,08/13/2020,$29.00,,4.90,12.0,Free Gift with Purchase!,https://www.ulta.com/beauty-on-run-travel-kit?productId=pimprod2006221,pimprod2006221
14631,14157,08/13/2020,$20.00,,4.50,18.0,,https://www.ulta.com/post-shave-cooling-gel?productId=xlsImpprod3730157,xlsImpprod3730157
14632,14158,08/13/2020,$60.00,,4.80,24.0,Free Gift with Purchase!,https://www.ulta.com/sauvage-after-shave-lotion?productId=xlsImpprod13611461,xlsImpprod13611461
14633,14159,08/13/2020,$18.00,,5.00,9.0,,https://www.ulta.com/bump-clear-post-shave-razor-bump-cream?productId=xlsImpprod17701023,xlsImpprod17701023
14634,14160,08/13/2020,$60.00,,5.00,3.0,Free Gift with Purchase!,https://www.ulta.com/sauvage-after-shave-balm?productId=xlsImpprod14351013,xlsImpprod14351013
14635,14161,08/13/2020,$13.50,,4.40,5.0,,https://www.ulta.com/ice-cold-after-shave-balm?productId=xlsImpprod16171039,xlsImpprod16171039
14636,14162,08/13/2020,$21.00,,5.00,2.0,,https://www.ulta.com/legendary-grooming-kit?productId=pimprod2012283,pimprod2012283
14637,14163,08/13/2020,$14.00,,4.50,2.0,Free Gift with Purchase!,https://www.ulta.com/cosmosis-hair-body-mist?productId=pimprod2017346,pimprod2017346
14638,14164,08/13/2020,$14.00,,4.70,3.0,Free Gift with Purchase!,https://www.ulta.com/tomboy-vibes-hair-body-mist?productId=pimprod2017344,pimprod2017344
14639,14165,08/13/2020,$9.50,,3.70,6.0,Free Gift with Purchase!,https://www.ulta.com/lime-coconut-fragrance-body-mist?productId=xlsImpprod19771076,xlsImpprod19771076
14640,14166,08/13/2020,$60.00,,4.30,10.0,Free Gift with Purchase!,https://www.ulta.com/fahrenheit-after-shave-lotion?productId=xlsImpprod13231209,xlsImpprod13231209
14641,14167,08/13/2020,$15.50,,5.00,2.0,,https://www.ulta.com/mvrck-cooling-aftershave?productId=pimprod2005316,pimprod2005316
14642,14168,08/13/2020,$9.50,,4.30,9.0,Free Gift with Purchase!,https://www.ulta.com/mandarin-freesia-fragrance-mist?productId=xlsImpprod17691193,xlsImpprod17691193
14643,14169,08/13/2020,$29.00,,3.60,9.0,,https://www.ulta.com/bb-hairdressers-invisible-oil-fragrance?productId=pimprod2010209,pimprod2010209
14644,14170,08/13/2020,$9.00,,4.00,11.0,,https://www.ulta.com/triple-citrus-blend-hair-body-mist?productId=xlsImpprod17761949,xlsImpprod17761949
14645,14171,08/13/2020,$19.00,,5.00,1.0,,https://www.ulta.com/essentials-shaving-kit?productId=pimprod2012281,pimprod2012281
14646,14172,08/13/2020,$19.00,,4.60,12.0,,https://www.ulta.com/after-shave-balm?productId=xlsImpprod18591045,xlsImpprod18591045
14647,14173,08/13/2020,$38.00,,4.20,9.0,Free Gift with Purchase!,https://www.ulta.com/ginger-neroli-body-mist?productId=pimprod2003170,pimprod2003170
14648,14174,08/13/2020,$14.00,,4.50,2.0,Free Gift with Purchase!,https://www.ulta.com/kindred-spirit-hair-body-mist?productId=pimprod2016444,pimprod2016444
14649,14175,08/13/2020,$30.00,,5.00,1.0,,https://www.ulta.com/cbd-420mg-after-shave-lotion?productId=pimprod2016004,pimprod2016004
14650,14176,08/13/2020,$5.99,,5.00,2.0,,https://www.ulta.com/travel-size-ice-cold-after-shave-balm?productId=xlsImpprod18361003,xlsImpprod18361003
14651,14177,08/13/2020,$48.00,,0,,Free Gift with Purchase!,https://www.ulta.com/legend-spirit-after-shave-balm?productId=xlsImpprod14301057,xlsImpprod14301057
14652,14178,08/13/2020,$18.00,,5.00,2.0,,https://www.ulta.com/secret-stache-after-shave-balm?productId=pimprod2012280,pimprod2012280
14653,14179,08/13/2020,$38.00,,3.80,8.0,Free Gift with Purchase!,https://www.ulta.com/grapefruit-verbena-body-mist?productId=pimprod2003171,pimprod2003171
14654,14181,08/13/2020,$68.00,,0,,Free Gift with Purchase!,https://www.ulta.com/men-gift-set?productId=pimprod2015505,pimprod2015505
14655,14182,08/13/2020,$107.00,,0,,Free Gift with Purchase!,https://www.ulta.com/guilty-him-gift-set?productId=pimprod2015724,pimprod2015724
14656,14183,08/13/2020,$72.00,,5.00,1.0,Free Gift with Purchase!,https://www.ulta.com/light-blue-pour-homme-gift-set?productId=pimprod2015792,pimprod2015792
14657,14184,08/13/2020,$140.00,,0,,Free Gift with Purchase!,https://www.ulta.com/y-gift-set?productId=pimprod2015415,pimprod2015415
14658,14185,08/13/2020,$74.00,,0,,Free Gift with Purchase!,https://www.ulta.com/k-by-dolce-gabbana-gift-set?productId=pimprod2015793,pimprod2015793
14659,14186,08/13/2020,$96.00,,0.00,,Free Gift with Purchase!,https://www.ulta.com/polo-red-coffret-set?productId=pimprod2015624,pimprod2015624
14660,14187,08/13/2020,$97.00,,0,,Free Gift with Purchase!,https://www.ulta.com/wanted-by-night-set?productId=pimprod2015594,pimprod2015594
14661,14188,08/13/2020,$91.00,,0,,Free Gift with Purchase!,https://www.ulta.com/wanted-set?productId=pimprod2015456,pimprod2015456
14662,14189,08/13/2020,$80.00,,0,,Free Gift with Purchase!,https://www.ulta.com/explorer-gift-set?productId=pimprod2015527,pimprod2015527
14663,14190,08/13/2020,$115.00,,4.60,30.0,Free Gift with Purchase!,https://www.ulta.com/man-wood-essence-gift-set?productId=pimprod2015504,pimprod2015504
14664,14191,08/13/2020,$25.00,,3.10,10.0,Free Gift with Purchase!,https://www.ulta.com/scents-sunny-days-sampler-set?productId=pimprod2015518,pimprod2015518
14665,14192,08/13/2020,$65.00,,4.50,13.0,Free Gift with Purchase!,https://www.ulta.com/bright-crystal-travel-set?productId=pimprod2005336,pimprod2005336
14666,14193,08/13/2020,$129.00,,4.90,12.0,Free Gift with Purchase!,https://www.ulta.com/la-vie-est-belle-gift-set?productId=pimprod2014674,pimprod2014674
14667,14194,08/13/2020,$59.00,,4.70,6.0,Free Gift with Purchase!,https://www.ulta.com/idole-le-traveler-set?productId=pimprod2014672,pimprod2014672
14668,14195,08/13/2020,$32.00,,4.70,35.0,,https://www.ulta.com/youre-amazing-set?productId=xlsImpprod16561020,xlsImpprod16561020
