product_id,option,price,sale,available,timestamp
pimprod2005688,Clair (fair to light skin tones w/ pink undertones),44,1.0,1.0,
pimprod2005688,"Golden (medium to olive skin tones w/ green, yellow, or golden undertones)",44,1.0,1.0,
pimprod2005688,Caramel (deeper skin tones w/ red and golden undertones),44,1.0,1.0,
pimprod2013015,Fair (very fair skin w/ warm yellow undertone),16,0.0,0.0,
pimprod2013015,Light (light skin w/ warm yellow undertone),16,0.0,1.0,
pimprod2013015,Medium (medium skin w/ warm yellow undertone),16,0.0,1.0,
pimprod2013015,Tan (tan skin w/ warm yellow undertone),16,0.0,0.0,
pimprod2013015,Rich (tan to deep skin w/ warm yellow undertone),16,0.0,1.0,
xlsImpprod6470091,Light,27,0.0,1.0,
xlsImpprod6470091,Medium,27,0.0,1.0,
pimprod2005371,Light,39,1.0,1.0,
pimprod2005371,Light to Medium,39,1.0,1.0,
pimprod2005371,Tan,39,1.0,1.0,
pimprod2005371,Deep Tan,39,1.0,1.0,
pimprod2005371,Deep,39,1.0,1.0,
pimprod2005691,,44,0.0,0.0,
pimprod2024519,10N (fair),39,1.0,1.0,
pimprod2024519,15N (fair),39,1.0,1.0,
pimprod2024519,20N (fair to light),39,1.0,1.0,
pimprod2024519,25N (light),39,1.0,1.0,
pimprod2024519,30N (light),39,1.0,1.0,
pimprod2024519,35N (light to medium),39,1.0,1.0,
pimprod2024519,37N (medium),39,1.0,1.0,
pimprod2024519,40N (medium),39,1.0,1.0,
pimprod2024519,43N (medium),39,1.0,1.0,
pimprod2024519,45N (medium to tan),39,1.0,1.0,
pimprod2024519,50N (tan),39,1.0,1.0,
pimprod2024519,60N (tan),39,1.0,1.0,
pimprod2024519,70N (tan),39,1.0,1.0,
pimprod2024519,75N (tan to deep),39,1.0,1.0,
pimprod2024519,85N (deep),39,1.0,1.0,
pimprod2024519,90N (deep),39,1.0,1.0,
xlsImpprod4480195,Light,8.99,0.0,1.0,
xlsImpprod4480195,Light/Medium,8.99,0.0,1.0,
xlsImpprod4480195,Medium,8.99,0.0,1.0,
xlsImpprod4480195,Medium/Deep,8.99,0.0,1.0,
xlsImpprod4480195,Deep,8.99,0.0,1.0,
pimprod2005693,Clair (fair to light skin tones w/ pink undertones),39,0.0,1.0,
