product_id,sku_id,brand,product,url,rating,no_of_reviews,sale,price,main_category,sub_category,sub_sub_category,sale_price,options,offers
xlsImpprod16171145,2513437,Wunder2,Wundercleanse,https://www.ulta.com/p/wundercleanse-xlsImpprod16171145,3.30,3,0,$8.95,skin care,cleansers, ,,,
pimprod2012795,2561599,NABLA,Glimmer Light Palette,https://www.ulta.com/p/glimmer-light-palette-pimprod2012795,2.60,14,0,$26.00,makeup,makeup palettes, ,,,
pimprod2018125,2570609,KVD Beauty,True Portrait Medium Coverage Shake Foundation,https://www.ulta.com/p/true-portrait-medium-coverage-shake-foundation-pimprod2018125,4.10,1098,0,$18.50,makeup,face,foundation,,,
prod15661160,2506082,J.Cat Beauty,"Matte Spray, Set, Go Setting Spray",https://www.ulta.com/p/matte-spray-set-go-setting-spray-prod15661160,2.90,7,0,$7.99,makeup,face,setting spray & powder,,,
pimprod2014251,2564796,J.Cat Beauty,Prime & Glow Face Illuminator Coconut Extract Blue,https://www.ulta.com/p/prime-glow-face-illuminator-coconut-extract-blue-pimprod2014251,2.00,1,0,$7.99,makeup,face,face primer,,,
pimprod2026285,2564449,Hynt Beauty,Duet Perfecting Concealer Sample Set,https://www.ulta.com/p/duet-perfecting-concealer-sample-set-pimprod2026285,0.0,,0,$6.00,makeup,face,concealer,,,
pimprod2028567,2587594,NYX Professional Makeup,Bare With Me Hydrating Face & Body Concealer Serum,https://www.ulta.com/p/bare-with-me-hydrating-face-body-concealer-serum-pimprod2028567,0.0,,0,$11.00,makeup,face,concealer,,13 Colors,
xlsImpprod3650156,2235540,Lancôme,Star Bronzer Long Lasting Bronzing Powder,https://www.ulta.com/p/star-bronzer-long-lasting-bronzing-powder-xlsImpprod3650156,4.70,104,0,$38.00,makeup,face,bronzer,,,Online Only Purchase $42 of Lancôme products and get the 9 Full-Size Favorites Set (2588057) for $75 (valid thru 12/31/21 or while quantities last)! Free Gift with Purchase!
pimprod2028598,2589467,Persona,Dreamstick Cream Highlighter,https://www.ulta.com/p/dreamstick-cream-highlighter-pimprod2028598,0.0,,0,$28.00,makeup,face,highlighter,,,
pimprod2029228,2584816,Sweet & Shimmer,Makeup Wipes,https://www.ulta.com/p/makeup-wipes-pimprod2029228,0.0,,0,$2.99,bath & body,gifts & value sets, ,,,
